telefone;objetivo_profissional;email;codigo_profissional;nome;data_nascimento;sexo;pcd;endereco;titulo_profissional;area_atuacao;conhecimentos_tecnicos;certificacoes;outras_certificacoes;nivel_profissional;qualificacoes;experiencias;nivel_academico;nivel_ingles;nivel_espanhol;outro_idioma;cursos;atuacao
(11) 96081-9237;analista de teste;sra._lorena_da_costa@gmail.com;46000;Sra. Lorena da Costa;08-09-1986;Masculino;nao;sao paulo;analista de teste;qualidade testes;;;;;;;ensino superior completo;basico;basico;-;tecnologia da informacao;qualidade testes
(11) 91822-3706;gerente de projetos senior;isis_da_cunha@gmail.com;46001;Isis da Cunha;04-07-1977;Masculino;nao;sao paulo;gerente de projetos senior;projetos;;;;;;;ensino superior completo;intermediario;basico;Português - Fluente;administracao;projetos
(21) 97856-3472;tecnico em telecomunicacoes;rhavi_novaes@hotmail.com;46002;Rhavi Novaes;25-03-1985;Masculino;nao;rio de janeiro;tecnico em telecomunicacoes;gestao alocacao recursos infraestrutura qualidade testes suporte telecom;;;;;;;ensino tecnico completo;basico;basico;-;;gestao alocacao recursos infraestrutura qualidade testes suporte telecom
(11) 92614-1717;analista financeiro;clarice_nogueira@hotmail.com;46003;Clarice Nogueira;18-08-1992;Feminino;nao;sao paulo;analista financeiro;financeira controladoria;;;;;;;pos graduacao completo;nenhum;nenhum;Português -;financascontroladoria;financeira controladoria
(34) 91185-1426;analista de facilites;dr._joão_lucas_araújo@hotmail.com;46004;Dr. João Lucas Araújo;16-12-1996;Feminino;nao;sao paulo;analista de facilites;administrativa;;;;;;;ensino superior completo;intermediario;;-;administracao;administrativa
(11) 93394-8846;analista de sistemas;pedro_lucas_vieira@hotmail.com;46005;Pedro Lucas Vieira;16-01-1792;Masculino;nao;sao paulo;analista de sistemas;financeira controladoria;;;;;;;ensino superior completo;basico;nenhum;Português - Fluente;tecnologia da informacao;financeira controladoria
(92) 99801-2759;analista de suporte de ti;enzo_gabriel_barbosa@gmail.com;46006;Enzo Gabriel Barbosa;27-11-1985;Masculino;nao;amazonas;analista de suporte de ti;gestao alocacao recursos banco dados infraestrutura qualidade testes seguranca informacao suporte;;;;;;;ensino superior completo;basico;nenhum;-;ciencia da computacao;gestao alocacao recursos banco dados infraestrutura qualidade testes seguranca informacao suporte
(11) 97541-4130;analista de teste jr;rhavi_casa_grande@hotmail.com;46007;Rhavi Casa Grande;14-12-1994;Masculino;nao;sao paulo;analista de teste jr;qualidade testes;;;;;;;ensino superior completo;intermediario;nenhum;-;administracao;qualidade testes
(21) 95912-2094;coordenador de recursos humanos;sr._luiz_fernando_rezende@hotmail.com;46008;Sr. Luiz Fernando Rezende;18-01-1973;Feminino;nao;rio de janeiro;coordenador de recursos humanos;recursos humanos;;;;;;;pos graduacao completo;basico;basico;-;administracao de empresas;recursos humanos
(11) 93906-5087;engenheiro de dados;antony_pimenta@hotmail.com;46009;Antony Pimenta;0000-00-00;;;sao paulo;engenheiro de dados;;;;;;;;;;;-;;
